recorded_at_utc,phase,poll_index,endpoint,url,status_code,success,ttfb_ms,total_time_ms,x_cache,age_header,observed_version,body_sha256,body_preview,error_message
2026-04-22T10:29:35Z,prime_old_version,0,s3,https://cs5296-cdn-ziang-personal-20260422.s3.us-east-1.amazonaws.com/mutable/update_test.txt,200,1,1547.414,1547.415,,,old-20260422T102930Z,ea988afe2084045393da3c30a9fc235151fe93327ebbde86c01679946a84c59f,version=old-20260422T102930Z\ngenerated_at_utc=2026-04-22T10:29:30Z\n,
2026-04-22T10:29:36Z,prime_old_version,0,cloudfront,https://d1kkjdyyhst5i6.cloudfront.net/mutable/update_test.txt,200,1,898.023,898.025,Miss from cloudfront,,old-20260422T102930Z,ea988afe2084045393da3c30a9fc235151fe93327ebbde86c01679946a84c59f,version=old-20260422T102930Z\ngenerated_at_utc=2026-04-22T10:29:30Z\n,
2026-04-22T10:29:37Z,after_update_poll,1,s3,https://cs5296-cdn-ziang-personal-20260422.s3.us-east-1.amazonaws.com/mutable/update_test.txt,200,1,300.85,300.852,,,new-20260422T102930Z,0d8cbc520e5be509789ff1e0811d9aea9f3e4c0336bd823eaf161cc31385485f,version=new-20260422T102930Z\ngenerated_at_utc=2026-04-22T10:29:36Z\n,
2026-04-22T10:29:37Z,after_update_poll,1,cloudfront,https://d1kkjdyyhst5i6.cloudfront.net/mutable/update_test.txt,200,1,89.287,89.292,Hit from cloudfront,1,old-20260422T102930Z,ea988afe2084045393da3c30a9fc235151fe93327ebbde86c01679946a84c59f,version=old-20260422T102930Z\ngenerated_at_utc=2026-04-22T10:29:30Z\n,
2026-04-22T10:29:47Z,after_update_poll,2,s3,https://cs5296-cdn-ziang-personal-20260422.s3.us-east-1.amazonaws.com/mutable/update_test.txt,200,1,828.119,828.12,,,new-20260422T102930Z,0d8cbc520e5be509789ff1e0811d9aea9f3e4c0336bd823eaf161cc31385485f,version=new-20260422T102930Z\ngenerated_at_utc=2026-04-22T10:29:36Z\n,
2026-04-22T10:29:48Z,after_update_poll,2,cloudfront,https://d1kkjdyyhst5i6.cloudfront.net/mutable/update_test.txt,200,1,96.913,96.914,Hit from cloudfront,12,old-20260422T102930Z,ea988afe2084045393da3c30a9fc235151fe93327ebbde86c01679946a84c59f,version=old-20260422T102930Z\ngenerated_at_utc=2026-04-22T10:29:30Z\n,
2026-04-22T10:29:58Z,after_update_poll,3,s3,https://cs5296-cdn-ziang-personal-20260422.s3.us-east-1.amazonaws.com/mutable/update_test.txt,200,1,926.675,926.678,,,new-20260422T102930Z,0d8cbc520e5be509789ff1e0811d9aea9f3e4c0336bd823eaf161cc31385485f,version=new-20260422T102930Z\ngenerated_at_utc=2026-04-22T10:29:36Z\n,
2026-04-22T10:29:59Z,after_update_poll,3,cloudfront,https://d1kkjdyyhst5i6.cloudfront.net/mutable/update_test.txt,200,1,100.72,100.723,Hit from cloudfront,23,old-20260422T102930Z,ea988afe2084045393da3c30a9fc235151fe93327ebbde86c01679946a84c59f,version=old-20260422T102930Z\ngenerated_at_utc=2026-04-22T10:29:30Z\n,
2026-04-22T10:30:09Z,after_update_poll,4,s3,https://cs5296-cdn-ziang-personal-20260422.s3.us-east-1.amazonaws.com/mutable/update_test.txt,200,1,842.63,842.63,,,new-20260422T102930Z,0d8cbc520e5be509789ff1e0811d9aea9f3e4c0336bd823eaf161cc31385485f,version=new-20260422T102930Z\ngenerated_at_utc=2026-04-22T10:29:36Z\n,
2026-04-22T10:30:10Z,after_update_poll,4,cloudfront,https://d1kkjdyyhst5i6.cloudfront.net/mutable/update_test.txt,200,1,124.01,124.011,Hit from cloudfront,34,old-20260422T102930Z,ea988afe2084045393da3c30a9fc235151fe93327ebbde86c01679946a84c59f,version=old-20260422T102930Z\ngenerated_at_utc=2026-04-22T10:29:30Z\n,
2026-04-22T10:30:20Z,after_update_poll,5,s3,https://cs5296-cdn-ziang-personal-20260422.s3.us-east-1.amazonaws.com/mutable/update_test.txt,200,1,860.058,860.061,,,new-20260422T102930Z,0d8cbc520e5be509789ff1e0811d9aea9f3e4c0336bd823eaf161cc31385485f,version=new-20260422T102930Z\ngenerated_at_utc=2026-04-22T10:29:36Z\n,
